formula,target
La8Mn7O24,0.0
TaCu3S4,3.0
HfC,0.0
CrCoPt2,0.0
MgV4O6,0.0
ThHg2,0.0
Ti2Cd,0.0
Eu(ZnGe)2,0.0
Cs2Zn3(SeO3)4,4.3
LaAl4Co,0.0
TbGa3,0.0
InAg3,0.0
TiC,0.0
TlCoBi,0.0
TlCuSe2,1.07
Nb5OF14,0.0
Bi2(PO4)3,0.0
PrSb,0.66
ZrAl5Ni2,0.0
YbIn4Ni,0.0
CaInPt,0.0
Zn0.6Ga0.4As0.4Se0.6,1.8
Li4Fe2Cu3O10,0.0
ErTlPd,0.0
YbAg2,0.0
Y3(Fe31B7)2,0.0
Na3UF7,0.0
Lu2MgHg,0.0
Cd0.01Hg0.99Se1,1.72
Fe2B(PO4)3,3.52
Li2FeWO6,0.0
Tb3Ge5,0.0
NaSi2Pd3,0.0
Li4Mn5Ni3O16,0.0
Zr2Co12P7,0.0
Rb2Ti(CuS2)2,2.19
Cr2CuS4,0.0
ZrInRh2,0.0
K6Yb3(PS4)5,2.6
Si(Bi3O5)4,3.2
LiB9PbO15,4.75
KTa3(TeO6)2,4.06
TiAuCl,0.0
PrLuIn2,0.0
USeS,0.0
Ba2Yb(CuO2)4,0.0
Ga1.1Sb0.9Se0.3,0.67
Li5Co2O2F5,0.0
Ga1Sb0.99As0.01,1.37
UVC2,0.0
Cs2Hg(ICl)2,2.15
Ba2V4(TeO6)3,2.64
Sn0.08Pb0.92Se1,0.06
Ba3BSbSe6,1.89
Cd0.6Hg0.4Se1,0.7
Mo5As4,0.0
Ba4B11O20F,7.1
Fe2S,0.0
Eu(BiSe2)2,1.02
Ca3Al2Ge3,0.0
Rb3Nb2AsSe11,1.5
La2S3,2.77
Ca2NiIrO6,0.0
RbF3,0.0
Sr(RuO3)2,0.0
CeRh,0.0
TaAs,0.0
YV(BiO4)2,2.09
Zn0.7Ga0.3P0.3Se0.7,2.15
Li3V4NiO12,0.0
SrLi2Sn,0.0
Eu2TeO2,0.0
LiErAu2,0.0
Lu2Mn12P7,0.0
Ta3P,0.0
TbTe,0.0
HoTh3,0.0
Ni2Mo3N,0.0
LiSbS2,1.36
Ca2Si,1.9
Mg4Sc3(SiO3)8,0.0
CeN,0.7
La5In3(S3O)3,2.6
Pb2O3,1.67
CoP3,0.45
TbRh2,0.0
YB66,0.8
Ce2Se3,1.75
Mn2AlO4,0.0
K4Ga4Si19,1.18
HfHg4(PCl3)2,3.26
Sm2TlHg,0.0
CdCu2GeSe4,1.2
CeSi2Pt,0.0
La2VCoO6,0.41
MnPSe3,2.5
Tl16O15F17,0.0
LaSb,0.8
Ce2S2O,0.0
U2Cr30P19,0.0
Cs2Sn3(SbS5)2,2.34
LiB3,2.0
YbCe2CuS5,1.37
Cs2AgBiCl6,2.77
HoInPt,0.0
Re2PbO6,0.0
Tl5Te3,0.0
MnO2,1.3
YbSmRh2,0.0
Bi0.002Te0.003Pb0.999Se0.999,0.79
K2NbCuS4,2.82
Ta7Cu3O19,2.47
Zn0.99Ga0.01P0.01Se0.99,2.6
Cu9S5,0.0
Ca2PbAu2,0.0
Cs2Cu(PS3)3,2.4
Ba4Ga5CuS12,2.82
TaTiFe2,0.0
Rb2Mo3Se3O16,3.1
K4(ZrSe5)3,1.81
Y3GaCo3,0.0
TaF3,0.0
Ce6B2(CBr)3,0.0
K2RbSb,1.2
Li7Ti7O16,0.0
Dy5Sn3,0.0
La2O3,5.4
GaAgGe3Se8,2.17
KIn(TeO3)2,4.0
Nd(CoSi)2,0.0
MgCu2GeS4,2.36
YWO3,0.0
