formula,target
Ga4Li4Se8,3.041588
Be2I4,5.087285
As2Cu2Na4,1.289488
Ba4F4Sb4Se8,1.777508
C8Cl4Cs4N8Pt2,4.123676
Cs8O8Pb4,2.69176
As2I6,2.831229
Ba2Nb1O6Y1,4.272385
K4O14Zn12,2.762743
I8Mn6O8Sb4,2.944309
Al2Cs12Sb6,1.0442270000000002
As12Na20Sn4,1.0104909999999998
C22F14,2.983168
Ba8Ga4Sb4Se20,2.223655
Mn2O14Te2V4,2.563973
Ba2Cu4O4,2.730083
Be24N16,4.55563
Ag4Te8Tl12,0.818936
Ge16S32,3.3180240000000003
Br6Pd1Rb2,1.389625
Cl28Mo4O4S4,2.478302
Ca8Si4,0.638139
Ag4K4N8O24,4.197526
F4Mg2,9.1739695
Cl40Sb8,2.895172
Fe2H2Li2O10P2,3.628334
Cu2F8Na4,4.835847
Ca14N18Nb2Si4,3.164623
H4Li8N4,3.778445
Nb4O18Zn8,4.073163
K2O21V8,1.999727
F12Na6V2,3.528669
Ge6O18Ti2Tl4,3.631555
Cu4Na4S12Ti4,0.775273
Pb4S16Sc8,2.40895
Ca4Cu2Fe2O6S2,1.403379
As2C4Cs2H12Se4,3.278315
O36P8Sn16,3.960505
La2Mn2Na2O12W2,2.88212
Bi2La2O2Se4,1.147781
Ca8Ge8In4Li4,0.35493
Cd4Mo4O24P4,2.759425
Bi2Cl2F16,3.883864
P32Re8,1.470128
As8K16Te16,1.510451
I2Li2,5.288467
Na4Pt2Se4,1.775489
Al2Cs2F8H8O4,8.472137
Ca6Mn2Ni2O12,3.569388
Cu12Sb4Se12,1.344112
Ag12Au4Te8,0.6295589999999995
Cu2H2,1.543349
C8Sr4,3.474949
Cu1H8O16P4Rb2,4.256429
Fe2O6Sr4,2.816618
Cs4Hg6Se8,2.039717
Ce2Lu2S6,1.3978070000000002
Ca4Hf4S12,2.261131
Br8Ca12O16Si4,2.673519
Ba1F6Ge1,7.79403
C4K3N4O2Re1,3.749801
Ca2Co2O2S2,2.905624
K7Nb1O24S6,4.15293
Br2Cs2Mn1O6V2,2.360785
Ca2Nb4O22P4,3.804182
Cu2F2H12N6,2.023077
As4Cs4Pd2,1.6691290000000003
Sn4Sr8,0.441863
Cr4F12O4,3.539539
Cl8O8Pb12,3.3697190000000004
I32Pt8,1.150805
K2O26Pd1S8,3.643281
Ba2Pd4S8,1.7756199999999995
Cs2Fe2O16S4,3.486345
Ge2Na4O12Te2,4.28999
Ba1Mg2P2,1.772545
Nb8Si4Te16,0.458029
K6P2Se32,1.873956
H6I6N4,1.419238
C8Na4O16Sn2,3.961663
Au4Ba2P8,0.7246999999999995
Cs6S27Ti6,2.018083
H4K2N2,3.401245
Co1F12O4S2Sb2,4.333621
Mo4Ni4O16,2.8355
Ba8Sn4,0.426688
I4O12Pb6Se4,3.619894
Cl4Cu2O12Se4Sr4,3.160799
F6K1Ni1Rb2,1.231477
Fe2Ge2Li4S8,2.711176
Bi2Cl2O4Pb2,3.014051
Ni4S8,1.255728
Cu2H8Na4O20S4,3.936919
C4Cd1F2H8N8O3,1.0076870000000002
Cd4K8O8,2.575164
Br4C6O6Ru2,3.422576
Ag2La2O8Ti2,3.057938
Bi2Ca4Na6O12,3.005685
Cl8Tl4,2.74845
K4Te4,1.415006
C8K4N8Pd2S8,2.785163
Ba6In3O18Ru3,2.382611
Ba8Cu4I4O8,3.852441
S20Zn20,3.4672155
Na10O10Ta2,4.058076
Fe2Li2O12Si4,4.069965
Ba4Bi4O10,2.662596
F4Pb1,3.371
Lu2P10,0.695538
C10O10P8S6W2,3.282485
Al2Cl8Sb10Se10,1.832722
Cu2N8Na4O24,3.745414
I32Zn16,3.29829
Cl36N12,3.570851
O10Ru3Sr2,0.049967
Mg3Nb6O11,1.253918
Co5O15Sr6,0.970782
I6O26Rb2V4,2.526041
Hg1O2,1.487131
Au4I12K4,1.114714
Fe2La6Ni2S14,2.438181
Fe1K1Mo2O8,3.621278
C2K2Pd1,2.172774
Ag4C16Co4O16,3.537611
Li2N6,5.006667
Ca4Cr4O10,1.788032
Cu4Nb8O24,3.593918
In4O14Si4,3.553181
Cu1F3K1,2.089942
Mn4Na8O10,3.203366
Hf3Te12Tl12,0.78974
Bi1S2Tl1,0.405207
Ca3Ge5O14Zn1,3.923859
Ca1H6O16S4,6.600708
Al6O12Tl6,3.34681
Rb12S16V4,2.651739
Cr2Mo2O14V2,3.481383
N2V2,0.827122
S6Ti2,0.980361
Ba12Ge4S20,3.047259
Bi2Cl2O2,3.545359
Ag2Cl6Cs2,0.021304
H2K2Mn4O18P4,1.884577
Cl8Cu8Hg8S8,1.934702
Ge4Na8S12,3.548805
Ge12O32Zn8,4.137579
Ba2I1Na1O6,3.924027
Na2Ni2O4,2.100798
Ag3C6K2N6Na1,3.864896
C2Cu1Rb1,3.039478
Fe4O12Te2,2.991315
C2Cl2H4Hg1N4,3.740012
Cs2La2Te6Zn2,2.314133
Hg12I8Se8,1.9953220000000005
Ba8O12Pt2,3.316706
Ag2Ga2Te4,0.904909
Ir2K6Li2O8,2.339819
Br12Ga4,4.511178
Ba4Co4O20Y8,3.367633
Li10O14W4,1.1475
Au2Cl8N10S10,2.564893
B12C2Li2,2.085419
Ba4O36V16,2.420056
Mn2O12Se4,2.468768
Ag12K4S8,2.277804
K4Se10Sn4,1.543628
Br16In4K4,3.970493
B1Ga3N4,3.54587
Cr4Cs6I18,1.754989
Ge12Ir8Se12,1.242488
Ag1Bi1Se2,0.427797
Hg1Se4Si1Tl2,1.518487
I4Se16Tc12,1.442841
Ba2P6,1.149461
Ag6Rb2Te4,0.953419
Ba4Fe8O4S8,2.809364
C8I4O8Ru2,3.141352
Ba11Cd6Sb12,0.7040149999999996
Ir2Ni2O12Sr4,1.562364
C8Cu2H8Na4O20,4.009864
Bi2Cl1Lu1O4,2.594838
C4H12N8Na2O8P2,6.587174
Fe4Na4O8,4.5892605
S16Y8Zn4,3.390717
Ba4S20Sn8,2.399633
O3Sr1Ti1,3.094581
Li4Nb4O16Zn4,4.329478
C8N8Se12,2.988181
Cs12O16Sb4,4.367026
Au4Cl16H8K4O8,2.547499
Au1Li1O14S4,3.487422
As6Bi1K3Se12,1.648608
B4K12S12,3.764047
Pb4Se12Tl16,0.339273
O4Si4Sr12,0.856724
B4Rb12S12,3.651901
Ba2F6Zn1,7.310396
Cl8Os2Sc8,1.429065
Cr2F6,4.132786
B2O6V2,2.67598
Mn1O6Pb2W1,1.701967
Bi4Cs2Cu2S8,1.050985
N4O8,4.298106
Al2Cl16Nb2,3.208821
Ca4Cu4Ge4H8O20,3.190581
K1O2Tl1,1.841017
P4Sb2Se12Tl2,2.120125
Br32Si8,5.370757
Cu1Lu1S2,2.53821
Ga4H4O16Se4,5.365842
Li1N2Na5,0.117432
Ca8Se16Si4,3.41151
Ba4Mn4O12,2.9447040000000007
As4Mo4O24Sr2,3.856186
Cu2H4O12Se4,3.638816
Ge8Na8S20,3.49998
B8Be4C8,1.114345
Fe4H6O18P6,4.094632
Cu2K4O24P8,4.407613
Cu2La6Se14Sn2,2.082286
Cl4Cr2O4,3.132229
Ga2Na6P8Sr6,1.388568
Fe4In4O12,3.278478
Pb6S24Sn6Y4,1.3738289999999995
Ge16Sr8,0.733377
P4S12Ti2,2.306603
Ba2F8Pd2,3.616388
Ir4O8,0.436824
Co2In6Y16,0.217074
Ga2Ge4Na2O12,4.153417
Re4Se8,1.753143
Ag8Br4N4O12,3.176511
Bi8Cu2Pb6S19,1.249988
Bi8Ce6Pt6,0.6963809999999997
Ni2O26Te12,4.034867
Co4O16Sb8,3.008082
Cs1F6Ru1,3.723032
O4Sn4,2.518353
Ge9Li4O20,4.382434
Cd1Cl1O15Tl4V5,2.711013
Cr2K2O14V4,3.098322
B16Mo4Y4,0.6493710000000004
K4O24S4V4,2.743625
N4Nb4O4,2.516827
K4Mn2P4Se12,2.467498
Al1P1S4,3.79419
Cr8O32Sr16,3.235485
Cs4Cu6F24Zr2,4.157611
Ca8Ir2O12,1.15584
Cl24Cs8Sb2Tl2,2.128254
Hg2Rb12S8,2.443026
O4Sr2Ti1,3.226257
Cs4Mn4O16,3.361577
Bi6O14Sb2,3.255704
H4Na2Ni1O10Se2,1.741707
Ag8O12Te4,3.109046
Ba2F10I2Pb4,3.80248
Ga2Ge2N2Sr4,0.527229
Br8Sr4,5.616336
Cu3O4V1,1.787046
Cu4La4Se8,1.7781019999999996
Li4O6Pb2,1.99057
H18Y6,0.299315
Na16Sn16,0.619866
Cu2Hg1Se4Sn1,0.165034
La4O10Pd4,2.848744
Ba2Ca2Fe8O14,1.619837
Na1O3Ta1,3.526863333333333
Ba4S12Te4,2.6676960000000003
Ag4O16P4Zn4,3.558443
Be2Li2P2,1.802117
Cl10P8S8Ta2,2.71254
Cu4Pb4S12Y4,2.578279
Au4Cs4O4,2.546282
Ba8Co1Nb6O24,2.841451
F8Hg4,2.597874
Li4O24Si8Ti4,2.224502
Cl11N3P4,4.139806
Pd1S6Ta2,0.260803
Ag4P4S16Zn4,3.366781
I2Ta2Te8,0.408785
P12Sn4Sr10,0.978995
P4Rb8Se18,2.228501
La2Mg1Mn1O6,3.229018
Cu4P8,1.593691
C8Li4N16Y4,4.934564
Fe2K4P4S12,2.99136
Cl20Cs8Tl4,2.627971
Hf2N4,1.469404
Br4Cu4O12Sr4Te2,3.550751
As2K6Nb4Se22,1.844395
Ba8Ce3O24Sb4,3.583574
Ba3F2In2O5,3.029197
Au4K4S20,2.691395
Ca8Mn8O20,3.183272
Cs2Cu6Lu4Se10,2.226293
In4S24Y12,1.919301
Li8O6Pt1,3.952403
F2N2,1.382362
Cs4S6Si2,4.023005
Cs4S8Zn6,4.035376
