formula,target
ScN,2.6
CsNbSe2O7,4.2
Rb3Bi2Br9,2.62
Si0.347Ge0.653,1.91
Sm(ErSe2)3,2.0
CsPSe6,1.9
Ce(InS2)3,1.11
Sn0.2Te1Pb0.8,0.08
Rb2Zn3(SeO3)4,4.9
RbBa2(PO3)5,7.6
Ca2SmTaO6,3.45
RbCd4In5Se12,1.57
Cs2La1.19Bi8.81S16,1.0
As2Ir,1.0
CsMn4In5Se12,1.79
Cd0.204Hg0.796Te1,0.06
Li4.5Mn0.5Te1O6,1.97
Na0.5Ge1Pb1.75S4,2.08
SrS,4.76
PrTaN2O,2.0
K5In3P6Se19,2.2
Hg3PS4,2.03
K2Th(CuS2)2,2.17
Si0.12Ge0.88,0.84
Cd0.5In2.25Ag0.25Te4,0.39
Al2S3,4.1
Cd0.6Hg0.4Se1,0.7
CoPS,0.4
Lu2TlCu3Se5,2.12
RbCd(BO2)3,4.2
In(PSe2)2,1.29
BH(PbO2)2,3.76
Sb8I2O11,2.72
Dy4Te3S4,1.43
MnTe9,2.0
In0.2Ga0.8As0.8P0.2,1.58
Cd0.28Hg0.72Te1,0.21
Eu2Se3,1.02
La(InS2)3,1.03
Al0.3Ga0.7As1,1.81
Ho2GeS5,2.5
La5In3(S3O)3,2.6
Hg7.5As4Cl6,1.73
LiNb3(BiO3)4,3.0
Ce10Se14O,1.93
Ba3BSbSe6,1.89
RhSe2,0.6
Cs2P2PdSe6,1.6
Ba2GaSbTe5,1.66
CoP3,0.45
Ca(BiO2)2,3.08
Cd3P2,0.5
CrO2,0.23
YB66,0.8
CsCeHgSe3,1.94
Ga4SnS7,3.1
Tl2Cu2SnS4,1.4
Sn0.06Te1Pb0.94,0.28
K2VCuS4,1.82
Zn3.5Ga1Sn0.5O6,2.99
K2Al2B2O7,6.89
Ba2B4H2O9,5.12
Cs4Zr3S14,2.35
Gd(InS2)3,1.13
NbCu3Se4,2.45
Zn6S5Cl2,2.71
Ga1.002Sb0.998Se0.006,0.7
CuBS2,3.61
K9Bi13S24,1.4
KInSe2,2.68
Ga1As0.8P0.2,1.62
Li2ZnSnSe4,1.87
KBiSe2,0.61
Sr4Ga8Ge15,0.05
Sc(CuSe)3,0.3
RbGeB3O7,5.58
CuSbPbS3,1.31
HgTe,0.15
Pd(IO3)2,1.31
YbWClO4,4.23
Bi0.4Te0.6Pb0.8Se0.8,0.22
Bi2I4O13,3.3
LaGaS3,2.5
CaZnSO,3.7
Si0.162Ge0.838,1.32
Ge0.01Te0.01Pb0.99Se0.99,0.23
Cd0.01In0.99Te0.01As0.99,0.76
Ge0.06Te0.06Pb0.94Se0.94,0.28
Zn0.65Hg0.35Se1,1.0
Te0.8Se0.2,0.4
Ag8GeS6,1.18
Ba2ThCu2Se5,1.75
Na2B6O9F2,7.33
Cs2Sn(PSe3)2,2.06
SnI2,2.4
EuN,1.25
CrB2(PbO2)6,1.8
Li4HgGe2S7,2.75
Cs3PW3O13,3.27
BaGa2GeS6,3.23
NaSbTe2,0.47
