formula,target
Cd1Cu3O12Ti4,2.567754
Hg4O6Te2,2.595047
As12Na20Si4,1.4851930000000002
Bi1Rb1S2,2.029959
C1I12Zr6,0.6707929999999998
In1K1O2,3.438565
Cu2K4Se8V2,1.898212
Ba5Mn4O21Y8,3.020748
Br8Mn16O28Si4Te4,3.731699
H4Mn2O4,3.1783520000000003
Br12Nb4Te4,1.5178899999999995
I8K8O24,3.915396
As2Br2Hg6S8,2.3373790000000003
Al8Ba12P16,1.97345
Ag2F8K4,2.897303
Ca2O6Pt2,3.034723
Na2O1,3.391681
Fe4K4Nb8O26,1.658465
Ge4In4Li4O16,3.730815
Li2P2Sr2,2.044546
La2O6Tl2,1.075689
Hg4Rb4Sb4Se12,1.788543
F4O22Si6Y8,6.788829
As8Mn4S20Tl8,2.466946
Ba4Ce4O12,4.050097
Cs4Ni2O4,4.023869
Ag4O12P2V2,2.678355
La8Ni4O16,0.730271
Br10Sn4Tl2,3.182799
As8Rb8,1.133376
Cd8Ge4O16,2.547799
Bi2Cl24Cs8Sb2,1.277137
Au4I4Te4,1.530521
Pd6Rb4Se8,1.685558
Ba2O6Ti1Zr1,3.575074
Ge1O5Pb3,2.581516
Ba20Sb16,0.736406
Fe2O6Sr4,2.816618
Ge2Hg3K2S8,2.307583
I8Pt4,1.337213
Hg1K2O2,3.436638
Ba4In4O10,2.12527
Br24Mo12,3.197112
As6Cs4,0.943213
Fe2O12Sr4Ta2,2.906471
As8Te12,0.752422
Ge16Rb16,1.324836
Cd2P4Si2,1.9924570000000004
Li2Nb2O4,2.373726
Ca8Mn4O14,3.637243
Al4P12Si4,0.8619399999999997
Hg2P2S6,2.762358
Na12O10Pb2,2.535658
I32Sn8,2.942779
Ag4Ba2Hg4O8,2.105166
O4Sn1Sr2,4.370724
Cu1O2Sc1,3.657285
Cu4O20Ti4Zr4,3.444223
Cl4Cu2H12N4,2.805369
As6Li2O24Zr4,5.623068
O32Se8V8,3.362052
Bi10Cl24Ga6,2.380938
Au4La4O12,3.410112
Al4K4O8,5.287889
I18Re6,1.296644
Cu2K4Se8Ta2,2.861708
Ru1Sb1V1,1.127348
As4Mg6,1.311475
Al2Cd1Te4,2.336457
Ge4Te12Tl12,1.122
O12Se4Ti2,3.739278
Ca4Sb2,0.473931
C12I4O12Os4,3.241331
Cl12Pd6,2.851935
O16Sn8Ti4,1.760334
Li4O20Te4V4,3.537583
Br8Cs4Re12Se16,2.08875
Cl6N6Ti2,3.364607
La6Mn2O12S6W2,0.660156
Bi2Br9Cs3,3.261566
Ag2C4Cs2,3.472215
In4Li4Se8,2.509652
Cu4S6Sn2,0.5171990000000006
Au2F8K2,4.388847
K2O24P2S4Sb4,5.476047
Mn2O14Te2V4,2.563973
Fe2K2Na2O20Si8,3.231618
Bi1S2Tl1,0.405207
Al2Cu2S4,3.038984
B2C6K4N6,3.434521
Cu2O14Sr9Zn4,3.789873
Ga2N6Sr6,1.405833
Ba4O18P4V2,3.660708
Li4O12V4,3.778469
Au2O4Sc2,3.054355
Br12Ga4,4.511178
Al8Na8Se16,3.28378
Ag2Te4Y2,1.5250240000000002
Ag2F8K2,3.719233
Br4C8Cs4N8Pt2,3.452147
Na2O16Ta6,4.03196
Cl6Rb2Ti1,3.345185
Cr4O8Zn2,4.007279999999999
I12Sb4,0.624879
O12Rb4Re4S4,3.748114
Cu1In1O2,1.40518
As18Cs18,1.291991
O20Se8Zn4,4.127111
Ba2N4Zr2,2.011504
Ru4Se8,1.138644
Bi4Cu4La8S20,1.811863
C6F6Na4O12Sn4,3.667793
Cs8In4S10,3.112528
Br2La2O14Pb12,2.729345
Al2I14Te2,2.587967
Ca8Mn8O48Ti16,2.363068
Cl12Cs2Sb2,3.226309
Mn4O14Sb4,1.096711
O2Zr1,4.932145
F12K8O8V4,4.249673
Br4Nb1O1Tl1,1.949592
Ge4S12Sn4,1.94055
Ge4Pt4Se4,0.765568
Mn12Na24O24,2.402347
