formula,target
TePb3Cl2O4,2.126
InNiAg2F7,0.436
K2InSbBr6,0.141
Ge2S3I2,2.023
K2RbGaBr6,2.295
CuAsPbO4,1.973
CaBiCO4F,1.315
Rb2MnTe2S6,0.856
P3HPb2O10,4.334
ZnCrO4,2.067
Ag2GeS3,0.365
ZnH8C4O8,2.564
Rb2AlTlBr6,2.643
Ca2Se3O8,3.323
Sm3GaO6,3.73
Ca3Si2SnO9,3.659
KCu2BiS3,0.601
Sr3BiP,0.021
CaB2C6,0.623
Sr3CaMn2O8,0.025
Te2Mo3Se2S2,0.017
ScCu2Hg,0.018
K2Mn3S4,0.207
Hg3PO4,2.249
BiCO3,1.649
K2Hg2SCl4O3,2.284
K2ErAgCl6,3.406
LiCaBi,0.587
Zn3Ni7O10,0.0325
LiGe2P3O12,3.616
K2ScSi4O10F,4.865
RuOF4,0.502
NaInSn2,0.201
Ga2TeS2,2.072
VInCuO5,0.186
Sm2As4O9,3.334
Rb2NaLuCl6,5.334
NaSr3TaO6,3.89
MgHOF,4.944
BaNd2ZnS5,1.218
RbBaTaS4,2.458
TiNb2ZnO8,2.432
KNa2Sb,0.92
K3AuSe13,0.652
MgSi2O5,5.222
MnCu2Cl4,0.955
TmCu3S3,1.421
TlNiCl3,0.593
LaAgSO,1.423
Al4InAgTe8,0.396
Li2Mn2CrO6,0.017
BaAl4Se7,2.633
H4C5SO2,3.355
K2PdBr4,1.306
CoH2SeO5,0.169
CaMgGeO4,3.751
CaMnF6,2.341
Nd2CoTe2S2O14,0.235
WBrO,0.781
CaTi4Pd3O12,0.519
CaV2O4,0.0103
Ti2FeP2O10,0.244
Ba8SrB6N12,2.034
Na2CdS2O8,4.165
LuIO,3.339
RbNa2BO3,3.413
ErH9C5N2O8,4.604
KTaAg2S4,0.802
CaZnSe2,1.572
Li4H6Os,2.744
Rb2NaCrCl6,1.44
ErCrB4,0.269
SrTlVO4,3.046
Sm2Ta2Cl2O7,3.213
Na2P2PbO7,4.489
Li3MnN2,0.031
DyH9C5N2O8,4.631
LiBiF4,5.021
MgCu2SiSe4,0.75
Hg2AsCl2,1.27
