formula,target
B6Fe4Li4O18Rb2,2.3855
Ba2Bi1O6Tb1,1.7187
Gd12N4O4Te8,0.9478
Be6Na12O36Si12,3.8781
Cs4H4O16S4,5.2778
Ca4Zn12,0.3302
Cl16Cr4H88N24Na4O8,3.8302
Mn2S10Zn8,0.7744999999999997
Fe3Li4Mn1O8,1.0999000000000003
C4Li8Mn4O28P4,0.6252
Mn2Na2O8,1.9124
F20Fe4Li8,3.7173
O4Sn1Sr2,2.5727
Ca1Mn1O24Sr7Ti7,0.9832999999999998
In8Na52O38,1.2783
B4Ga3O12Y1,4.3959
Al6Ca2La2O14,4.3635
Ag2P2Rb4S8,2.2505
B2Cr2Li2O6,2.1998
Ni12O36Ti12,1.5999000000000008
Li4O20Si4V4,2.0535
Fe36O96P24,3.0130000000000003
Br16N8P8,2.9785
Be2F12K2Lu2,7.4872
Co5Li9Mn2O16,0.189
H4Mn2O14P4,4.368
Al1Mg1,0.1398999999999999
Li8Mn4O32Ti12,1.7513000000000003
O6Y4,4.4468
As6Be6Br2Li8O24,3.8403
Nb4O18Sr8,3.5684000000000005
Cl6Cu1Dy1K2,2.3502
F4O40Rb8Sc4Si16,5.0156
Li8S16W4,1.6913
B4Fe2Li4Mn2O12,3.105
Bi4Ca4Cu4O20,0.8046000000000002
Cd8La8O20,1.3022000000000005
Cu2H3O10Rb1S2,0.1156000000000001
H16Li8O56Sc8Se16,4.0587
Cd1Ge2Pr6S14,2.0311
Au2F24P4Sb2,3.854
Al24C16H64N8O104P24,0.9554
La1O6Sr2Ta1,3.5136000000000003
Ba8Ca8O56P16,5.3187
Cs8Mg8Mo12O48,4.2700000000000005
Ba2Bi2Cl2O4,3.1774
Ba2H8O12,0.1985
O44S8V8,2.3422
F10Mn12O14,0.1501999999999999
Ba9O24Sc2Si6,4.3057
Br2Pd1Se6,1.0267999999999995
Cr2Mn2O12Y4,0.8313999999999999
Li12S12Sb4,2.358
Ba4Ca2Co4Cu2F28,0.5517000000000001
F8Na16O24P8,4.4907
Cd8S6Se6Si2,0.7380999999999998
Al10F40Rb10,6.8327
Fe2Li4Ni3O24P6Ti1,2.3667000000000007
F12Pb4Rb4,4.174
As2F10,4.6002
Mo4O8,1.0932
La2Mn1Ni1O6,1.1807999999999996
F32Li8Mn12,2.8732
Ba3Bi2Lu2O12Sr1,1.5655
Na6O22P6Th2,4.9705
Br4O16Sr8V4,3.2815000000000003
Nb4O12Th1,1.6237
C4Co2H16O20Rb4,2.9037
Fe3Li4O16Te2V3,1.3483000000000005
Al2B4Mn2O16Pb4,1.2679
Ba4Cl2Mn2O14Si4,1.3283999999999998
Cl20K8La4,4.1568
F2Fe2H10N2O8P2,3.5811
Ca1Mn3Na2O18Si6,0.1714999999999999
Cs2F14Sb4,4.1067
Fe2H4Li4O20P4V2,1.7307
H32O40Se8,3.5177
Ce6Se12,0.5109999999999997
Cl28Er8K4,4.6121
Al2Cu4Ni2O14Sr4,0.0572999999999996
As4Cu2Gd2,0.0432000000000005
O12Re2Tb5,0.0332999999999996
Li2O36P10Sb4,0.1987000000000001
Ba1Cl2,5.4309
Cl6Pr1Rb3,4.5266
F6K2Rb1Y1,5.525
B8Na12O24V4,2.0938000000000003
Nb6O36P6Tl12,2.9004000000000003
H20I4O24,2.2527
Al4Cl16Cs4,5.3868
H12Na12O20Si4,3.8945
B88C32Cl8H144N8S16,3.5272
Cl2F2Yb2,6.0554
Cu2O12W2Zn4,0.3713000000000002
Se4Si2,1.9864
F16Li4Mn4,0.9221
Fe3Li4Mn1O16P4,3.7836
Cl6Cs2Dy1Na1,5.2508
Al24H16K4Na4O96Si24,4.736800000000001
F11Hf2Na1V1,3.1712
Cl6Ga1In1Rb2,1.6292999999999995
H16N16O4Pt2,2.3306
Ag1Br6K2Sc1,2.7774
Ba8O18Ta4,3.5999
Nb4O22Sr12,3.1448
Ag2Na6S4,2.1755
Ca2O8S2,5.9393
K8Mo4O24Se4,3.4942
Ba2Ho1O6U1,0.8161000000000005
Cr4O24P8,2.8477
Cd1Mn3Te4,0.1924999999999999
F44V20,0.6265000000000001
S4W2,1.6944
As2H8O12Zn3,2.9167
Co4Li8Mn2O14,0.1971999999999996
Cl8Li4Mn2,1.8782
H4K4O28S8,5.2976
Cl14Cs2Ti4,0.2471000000000001
Ca2Cl2F2,5.6702
Cl6Dy1Li1Na2,3.9711
Cl4Cu2O12Se4Sr4,0.4852999999999996
Ba4Ca4I16,3.7585
As1F6Tl3,3.2055
Ba4O16Tl8,0.2972999999999999
Ge4Mg8Se16,1.4167
Cs8O32P8V4,2.9681
F9Mn6O3,0.0442
K7Nb1O24S6,2.8575
Li12O58P16V6,0.9706
O84Sr20Ti32,1.8579
O12V2W2Zn4,1.6694999999999998
F8O4Ti4,3.8974
O24P6Sb1Ti3V2,0.0284000000000004
Fe4Li4O36P12,3.8879
Mg28O96Si32,0.2199999999999997
H12In4Na4O34P8,4.0732
Li2Mg8O24V6,3.3004999999999995
Na4O22Ta8,3.4657
H24Mg2O28Rb4S4,5.0807
Co4Li8Mn2O14,0.2204999999999999
Li1O12Te1V1W2,1.6739
Fe2O8W2,2.401
C4Cr3Li12Mn1O28P4,2.5460000000000003
Br1Li6P1S5,2.1276
As4Ru2,0.4492000000000002
O14Sm4Sn4,2.6977
Al4Cl16Cu4,2.5317
As6F36I6S42,1.8164
C2Li2Mn2Na4O14P2,3.3858
F14Li2V4,1.771
Co1Cr2Li4O24P6V3,0.5522
Mg8S16Sn4,2.1192
Co1Fe2Li3O6,2.0123
Cs4O28P8Pd6,1.3456
Si4Te12Tl12,1.0854
Pb2S2,1.7193999999999998
I4O14Ti2,2.6365
Br28Re12Se28,1.3152
Ag2Cu2S2,0.6406999999999998
Al6B8O24Pr2,5.068600000000001
F28H8O12S4Sb4,4.9175
Cd4H8O20S4,3.4926000000000004
Cd4F8,2.7465
Cl6Cs2Dy1Rb1,4.9443
Cu6O32P8Sr6,0.2942999999999998
Fe2La2O12W2,1.7712000000000003
B8Fe8Li2O24,1.4094999999999998
Br6Cs2Ga1Na1,1.4373
Br8Hg12Se8,1.3272
Cs8N48Na40W16,1.7775
Br18Cs6Tb4,4.0904
Ir1K4O4,0.4266000000000001
C2K2O14P2W2,2.8067
O4S4Zr4,2.4197
C4Li8Mn4O20,0.9526
S24Zn24,2.0374
C4Ca4O12,4.171200000000001
Ba2Nb1O6Pr1,2.8571000000000004
Cd2O10Se4,2.8994
Co5Li9Mn2O16,0.5315000000000003
Na2O4Pr2,3.1969000000000003
Br16In4Rb4,2.9203
Li2Mn2O8P2,3.4749
Ca4Cr2O12Sb2,1.6251999999999995
H24N2O26P6Zn2,4.825799999999999
B2Lu2O6,4.2791
Co3Li5O10Ti2,0.8963999999999999
Co5Li9Mn2O16,0.9062
O12V4Yb4,0.3999999999999999
Ga4S8Yb2,2.5686
Au10Dy4F42,1.5929
Cr2Cs4F20H8,1.786
F1O11V6,0.5169000000000001
Ca10O25P6,3.1485
Ca1O24Sr7Ti8,1.7845000000000004
Ga1Nb1O6Sr2,3.2468
Li12O16V4,3.939
F10Li2V2,1.817
F2O10V6,0.2267000000000001
Li3O8V3,1.2366
Ga1Li1Si1,0.1909
F6Fe1Li2,0.2908999999999999
Cr2Ni2O8,1.924
Fe2Li2O8Ti2,1.3314000000000004
Be2C2Li6O14P2,5.353800000000001
O64Si32,5.646800000000001
F12Li8O8V4,2.5101
Co6F10O2,0.1066999999999999
Dy8Eu4S16,0.0895999999999999
C4O12Pb4,3.3293
Cr2O8Tm2,0.2142000000000001
Ca8Co24O56,0.2475
Li8O58P16V6,0.8222
Cu4I4,1.1641000000000004
B8Li8O88P16Pb32,2.5775
Cl8Zn4,4.04
Fe4H14O13,1.8595
P8S8Tm8,0.1631999999999998
Fe2O24P6Sn1Ti3,0.0183999999999997
Bi1Cl6Cu1Na2,0.9423000000000004
Co2Na4O20Si8,3.0632000000000006
Li1S2Y1,1.9195999999999995
Al12B10O36,0.4338999999999999
Fe8Li8O32Si8,2.1636
Mo16O88P16Tl12,1.0789
B4F12H48N16,4.8358
Ca4S12Sn4,0.7503000000000002
K4Nb1O12Ta3,1.8667
Mo4O32P8,1.9816
Co1Li3N6O12,2.3955
Ba6Dy4O18W2,2.1925
As12Ca12Ga4,0.3329999999999997
Li7O12V5,1.1547
O24Rb4S4V4,1.8148
Cs1F6Nb1,5.203
Cd17I34,2.38
Cu4Li4O26Si10,0.4739
Fe1Li2O2,1.7893
